date,load_mw,renewable_total_mw,shortfall_mw,surplus_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,battery_soc_pct,unmet_demand_mw,net_shortfall_pct
2015-01-01,45346.54166666666,14554.30637254902,30792.235294117643,-30792.235294117643,0.0,2000.0,3000.0,30.0,28792.235294117643,63.49378416939398
2015-01-02,51941.16666666666,25471.291666666664,26469.875,-26469.875,0.0,2000.0,2000.0,20.0,24469.875,47.11075351278852
2015-01-03,46564.75,19591.333333333336,26973.416666666664,-26973.416666666664,0.0,2000.0,2000.0,20.0,24973.416666666664,53.631591851489944
2015-01-04,45082.5,16875.208333333332,28207.291666666668,-28207.291666666668,0.0,2000.0,2000.0,20.0,26207.291666666668,58.13185086600492
2015-01-05,55246.66666666666,10127.583333333334,45119.08333333333,-45119.08333333333,0.0,2000.0,2000.0,20.0,43119.08333333333,78.04829853988174
2015-01-06,55496.5,6254.791666666666,49241.708333333336,-49241.708333333336,0.0,2000.0,2000.0,20.0,47241.708333333336,85.12556347397285
2015-01-07,60113.0,10179.916666666668,49933.08333333333,-49933.08333333333,0.0,2000.0,2000.0,20.0,47933.08333333333,79.73829842685164
2015-01-08,61432.29166666666,18704.875,42727.41666666666,-42727.41666666666,0.0,2000.0,2000.0,20.0,40727.41666666666,66.29643069097074
2015-01-09,60808.708333333336,27022.95833333333,33785.75,-33785.75,0.0,2000.0,2000.0,20.0,31785.75,52.2717072458783
2015-01-10,51784.04166666666,27297.916666666668,24486.125,-24486.125,0.0,2000.0,2000.0,20.0,22486.125,43.42288526790349
2015-01-11,48456.5,27091.20833333333,21365.291666666668,-21365.291666666668,0.0,2000.0,2000.0,20.0,19365.291666666668,39.96428067785884
2015-01-12,61913.625,26785.70833333333,35127.91666666667,-35127.91666666667,0.0,2000.0,2000.0,20.0,33127.91666666667,53.506666209039885
2015-01-13,60950.16666666666,23417.33333333333,37532.83333333333,-37532.83333333333,0.0,2000.0,2000.0,20.0,35532.83333333333,58.2981725507997
2015-01-14,60946.458333333336,17712.0,43234.458333333336,-43234.458333333336,0.0,2000.0,2000.0,20.0,41234.458333333336,67.65685728251916
2015-01-15,61635.208333333336,23901.083333333336,37734.125,-37734.125,0.0,2000.0,2000.0,20.0,35734.125,57.97680573535824
2015-01-16,59642.25,11339.208333333334,48303.04166666666,-48303.04166666666,0.0,2000.0,2000.0,20.0,46303.04166666666,77.63463260803651
2015-01-17,51133.75,6630.083333333333,44503.66666666666,-44503.66666666666,0.0,2000.0,2000.0,20.0,42503.66666666666,83.12252996634642
2015-01-18,47487.29166666666,6603.083333333333,40884.20833333333,-40884.20833333333,0.0,2000.0,2000.0,20.0,38884.20833333333,81.88339862858047
2015-01-19,60720.79166666666,2304.208333333333,58416.58333333333,-58416.58333333333,0.0,2000.0,2000.0,20.0,56416.58333333333,92.91147527034603
2015-01-20,62052.208333333336,1147.0416666666663,60905.16666666667,-60905.16666666667,0.0,2000.0,2000.0,20.0,58905.16666666667,94.92839698828877
2015-01-21,61946.125,3021.25,58924.875,-58924.875,0.0,2000.0,2000.0,20.0,56924.875,91.89416609997801
2015-01-22,62371.04166666666,3100.583333333333,59270.45833333333,-59270.45833333333,0.0,2000.0,2000.0,20.0,57270.45833333333,91.82219312514823
