date,load_mw,renewable_total_mw,shortfall_mw,surplus_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,battery_soc_pct,unmet_demand_mw,net_shortfall_pct
2015-01-01,45346.54166666666,18970.886519607844,26375.65514705882,-26375.65514705882,0.0,5000.0,20000.0,40.0,21375.65514705882,47.13844619990424
2015-01-02,51941.16666666666,33128.839583333334,18812.32708333333,-18812.32708333333,0.0,5000.0,15000.0,30.0,13812.32708333333,26.592254217111023
2015-01-03,46564.75,25483.810416666667,21080.939583333333,-21080.939583333333,0.0,5000.0,10000.0,20.0,16080.939583333333,34.534577300067824
2015-01-04,45082.5,21979.4,23103.1,-23103.1,0.0,5000.0,10000.0,20.0,18103.1,40.15549270781345
2015-01-05,55246.66666666666,13221.1125,42025.55416666667,-42025.55416666667,0.0,5000.0,10000.0,20.0,37025.55416666667,67.01862103294319
2015-01-06,55496.5,8199.745833333334,47296.754166666666,-47296.754166666666,0.0,5000.0,10000.0,20.0,42296.754166666666,76.2151742302067
2015-01-07,60113.0,13269.545833333335,46843.45416666666,-46843.45416666666,0.0,5000.0,10000.0,20.0,41843.45416666666,69.60799522011322
2015-01-08,61432.29166666666,24334.252083333333,37098.03958333333,-37098.03958333333,0.0,5000.0,10000.0,20.0,32098.03958333333,52.24945824501908
2015-01-09,60808.708333333336,35144.058333333334,25664.65,-25664.65,0.0,5000.0,10000.0,20.0,20664.65,33.98304382116323
2015-01-10,51784.04166666666,35529.94375,16254.097916666666,-16254.097916666666,0.0,5000.0,10000.0,20.0,11254.097916666666,21.732753092369997
2015-01-11,48456.5,35259.84375,13196.65625,-13196.65625,0.0,5000.0,10000.0,20.0,8196.65625,16.91549379340233
2015-01-12,61913.625,34844.38958333333,27069.23541666667,-27069.23541666667,0.0,5000.0,10000.0,20.0,22069.23541666667,35.64519993243276
2015-01-13,60950.16666666666,30547.28958333333,30402.87708333333,-30402.87708333333,0.0,5000.0,10000.0,20.0,25402.87708333333,41.67810930240825
2015-01-14,60946.458333333336,23063.32083333333,37883.1375,-37883.1375,0.0,5000.0,10000.0,20.0,32883.1375,53.95414007513425
2015-01-15,61635.208333333336,31107.14791666667,30528.060416666667,-30528.060416666667,0.0,5000.0,10000.0,20.0,25528.060416666667,41.41798349833868
2015-01-16,59642.25,14788.508333333337,44853.74166666667,-44853.74166666667,0.0,5000.0,10000.0,20.0,39853.74166666667,66.82132492765895
2015-01-17,51133.75,8663.702083333334,42470.04791666666,-42470.04791666666,0.0,5000.0,10000.0,20.0,37470.04791666666,73.27850571621808
2015-01-18,47487.29166666666,8649.13125,38838.160416666666,-38838.160416666666,0.0,5000.0,10000.0,20.0,33838.160416666666,71.2572969083834
2015-01-19,60720.79166666666,3044.80625,57675.98541666666,-57675.98541666666,0.0,5000.0,10000.0,20.0,52675.98541666666,86.75115058749098
2015-01-20,62052.208333333336,1513.6354166666667,60538.57291666667,-60538.57291666667,0.0,5000.0,10000.0,20.0,55538.57291666667,89.50297565289445
2015-01-21,61946.125,3973.7083333333335,57972.41666666666,-57972.41666666666,0.0,5000.0,10000.0,20.0,52972.41666666666,85.51368897839318
2015-01-22,62371.04166666666,4056.00625,58315.035416666666,-58315.035416666666,0.0,5000.0,10000.0,20.0,53315.035416666666,85.48043128989484
2015-01-23,61289.04166666666,2484.885416666667,58804.15625,-58804.15625,0.0,5000.0,10000.0,20.0,53804.15625,87.78756330148744
2015-01-24,53379.66666666666,9057.058333333334,44322.60833333333,-44322.60833333333,0.0,5000.0,10000.0,20.0,39322.60833333333,73.66589338012602
2015-01-25,48534.25,6701.716666666667,41832.53333333333,-41832.53333333333,0.0,5000.0,10000.0,20.0,36832.53333333333,75.88977543349971
2015-01-26,61786.25,13140.591666666664,48645.65833333333,-48645.65833333333,0.0,5000.0,10000.0,20.0,43645.65833333333,70.63975938551592
2015-01-27,62015.625,15539.272916666669,46476.35208333333,-46476.35208333333,0.0,5000.0,10000.0,20.0,41476.35208333333,66.88048710842361
2015-01-28,63308.958333333336,24858.04375,38450.91458333333,-38450.91458333333,0.0,5000.0,10000.0,20.0,33450.91458333333,52.83756906440965
2015-01-29,62851.79166666666,23251.454166666663,39600.3375,-39600.3375,0.0,5000.0,10000.0,20.0,34600.3375,55.05067808329517
2015-01-30,61035.0,5608.89375,55426.10625,-55426.10625,0.0,5000.0,10000.0,20.0,50426.10625,82.6183439829606
2015-01-31,52042.458333333336,8392.710416666667,43649.74791666667,-43649.74791666667,0.0,5000.0,10000.0,20.0,38649.74791666667,74.26579979968278
2015-02-01,48098.125,7986.508333333333,40111.61666666667,-40111.61666666667,0.0,5000.0,10000.0,20.0,35111.61666666667,72.99996968003778
2015-02-02,61793.29166666666,11832.7375,49960.55416666666,-49960.55416666666,0.0,5000.0,10000.0,20.0,44960.55416666666,72.75960375957746
2015-02-03,62584.875,6810.908333333334,55773.96666666667,-55773.96666666667,0.0,5000.0,10000.0,20.0,50773.96666666667,81.12817460555233
2015-02-04,62909.125,3975.664583333333,58933.46041666667,-58933.46041666667,0.0,5000.0,10000.0,20.0,53933.46041666667,85.73233281605279
2015-02-05,62918.833333333336,8540.779166666667,54378.05416666667,-54378.05416666667,0.0,5000.0,10000.0,20.0,49378.05416666667,78.4789729095422
2015-02-06,62154.583333333336,11736.310416666667,50418.27291666667,-50418.27291666667,0.0,5000.0,10000.0,20.0,45418.27291666667,73.07308726226948
2015-02-07,53505.25,18029.597916666666,35475.652083333334,-35475.652083333334,0.0,5000.0,10000.0,20.0,30475.652083333334,56.95824630916281
2015-02-08,49401.333333333336,24909.487500000003,24491.845833333333,-24491.845833333333,0.0,5000.0,10000.0,20.0,19491.845833333333,39.45611285795255
2015-02-09,62416.75,21565.52708333333,40851.222916666666,-40851.222916666666,0.0,5000.0,10000.0,20.0,35851.222916666666,57.43846470164926
2015-02-10,62023.583333333336,9254.75,52768.833333333336,-52768.833333333336,0.0,5000.0,10000.0,20.0,47768.833333333336,77.01720985162902
2015-02-11,61875.04166666666,2992.29375,58882.74791666667,-58882.74791666667,0.0,5000.0,10000.0,20.0,53882.74791666667,87.08317031436343
2015-02-12,61604.208333333336,3608.6958333333337,57995.5125,-57995.5125,0.0,5000.0,10000.0,20.0,52995.5125,86.02579910328096
2015-02-13,60234.04166666666,8835.447916666666,51398.59375,-51398.59375,0.0,5000.0,10000.0,20.0,46398.59375,77.03051707333272
2015-02-14,51281.958333333336,10128.735416666668,41153.222916666666,-41153.222916666666,0.0,5000.0,10000.0,20.0,36153.222916666666,70.49891246677885
